Instance,firstObjective,finalObjective,time(s)
B-n38-k6-r12_3_6_0.50,181.98,173.07,1.21
B-n38-k6-r12_3_6_1.00,181.41,173.07,0.74
B-n38-k6-r12_3_6_2.00,181.41,173.07,0.79
B-n38-k6-r16_1_2_0.50,267.55,218.22,0.82
B-n38-k6-r16_1_2_1.00,226.82,207.52,0.92
B-n38-k6-r16_1_2_2.00,250.34,181.92,1.41
B-n38-k6-r16_2_2_0.50,281.82,229.81,1.09
B-n38-k6-r16_2_2_1.00,233.51,181.34,1.56
B-n38-k6-r16_2_2_2.00,216.99,181.33,0.97
B-n38-k6-r16_3_2_0.50,226.88,184.74,1.28
B-n38-k6-r16_3_2_1.00,232.73,216.28,0.92
B-n38-k6-r16_3_2_2.00,250.21,181.33,9.66
B-n38-k6-r16_1_3_0.50,219.59,182.85,1.33
B-n38-k6-r16_1_3_1.00,242.14,172.56,1.07
B-n38-k6-r16_1_3_2.00,199.02,160.72,0.99
B-n38-k6-r16_2_3_0.50,217.69,172.56,1.00
B-n38-k6-r16_2_3_1.00,204.62,160.72,1.08
B-n38-k6-r16_2_3_2.00,216.38,160.72,0.91
B-n38-k6-r16_3_3_0.50,192.38,169.80,0.98
B-n38-k6-r16_3_3_1.00,213.53,160.72,1.24
B-n38-k6-r16_3_3_2.00,215.92,160.72,1.40
B-n38-k6-r16_1_4_0.50,209.69,183.23,0.82
B-n38-k6-r16_1_4_1.00,217.12,172.56,0.86
B-n38-k6-r16_1_4_2.00,196.21,160.72,1.04
B-n38-k6-r16_2_4_0.50,195.83,172.56,0.99
B-n38-k6-r16_2_4_1.00,185.75,160.72,0.87
B-n38-k6-r16_2_4_2.00,177.43,160.72,0.74
B-n38-k6-r16_3_4_0.50,217.12,169.80,0.73
B-n38-k6-r16_3_4_1.00,198.83,160.72,0.70
B-n38-k6-r16_3_4_2.00,182.85,160.72,0.87
B-n38-k6-r16_1_6_0.50,186.89,165.60,1.33
B-n38-k6-r16_1_6_1.00,195.83,163.03,0.82
B-n38-k6-r16_1_6_2.00,160.72,160.72,0.75
B-n38-k6-r16_2_6_0.50,185.53,162.43,1.42
B-n38-k6-r16_2_6_1.00,163.65,160.72,0.78
B-n38-k6-r16_2_6_2.00,187.37,160.72,0.73
B-n38-k6-r16_3_6_0.50,188.28,169.69,0.74
B-n38-k6-r16_3_6_1.00,160.72,160.72,0.69
B-n38-k6-r16_3_6_2.00,187.39,160.72,0.74
B-n39-k5-r8_1_2_0.50,222.12,203.23,1.06
B-n39-k5-r8_1_2_1.00,241.28,193.82,1.21
B-n39-k5-r8_1_2_2.00,202.47,199.40,1.47
B-n39-k5-r8_2_2_0.50,253.76,199.40,0.91
B-n39-k5-r8_2_2_1.00,220.20,199.40,2.83
B-n39-k5-r8_2_2_2.00,254.77,188.84,2.36
B-n39-k5-r8_3_2_0.50,228.39,199.40,1.03
