Instance,firstObjective,finalObjective,time(s)
B-n45-k5-r8_3_4_1.00,185.70,175.98,0.84
B-n45-k5-r8_3_4_2.00,247.64,174.01,0.73
B-n45-k5-r8_1_5_0.50,210.44,174.01,0.66
B-n45-k5-r8_1_5_1.00,190.02,174.01,0.71
B-n45-k5-r8_1_5_2.00,187.85,174.01,0.73
B-n45-k5-r8_2_5_0.50,196.60,174.01,0.72
B-n45-k5-r8_2_5_1.00,197.05,174.01,0.78
B-n45-k5-r8_2_5_2.00,185.70,174.01,0.66
B-n45-k5-r8_3_5_0.50,207.71,174.01,0.73
B-n45-k5-r8_3_5_1.00,191.84,174.01,0.68
B-n45-k5-r8_3_5_2.00,212.50,174.01,0.79
B-n45-k5-r12_1_2_0.50,278.84,266.23,1.19
B-n45-k5-r12_1_2_1.00,270.62,254.47,1.12
B-n45-k5-r12_1_2_2.00,331.54,264.53,0.94
B-n45-k5-r12_2_2_0.50,263.97,257.00,1.15
B-n45-k5-r12_2_2_1.00,322.86,290.88,0.95
B-n45-k5-r12_2_2_2.00,282.85,236.94,1.20
B-n45-k5-r12_3_2_0.50,280.50,238.62,1.65
B-n45-k5-r12_3_2_1.00,278.16,236.94,0.96
B-n45-k5-r12_3_2_2.00,291.63,254.47,1.71
B-n45-k5-r12_1_3_0.50,250.58,211.58,0.83
B-n45-k5-r12_1_3_1.00,223.95,211.58,0.94
B-n45-k5-r12_1_3_2.00,253.57,211.58,1.14
B-n45-k5-r12_2_3_0.50,227.36,219.43,0.95
B-n45-k5-r12_2_3_1.00,269.08,211.58,0.68
B-n45-k5-r12_2_3_2.00,245.05,211.58,0.73
B-n45-k5-r12_3_3_0.50,242.86,211.58,0.90
B-n45-k5-r12_3_3_1.00,259.37,211.58,2.02
B-n45-k5-r12_3_3_2.00,276.33,211.58,1.86
B-n45-k5-r12_1_4_0.50,199.84,192.99,0.90
B-n45-k5-r12_1_4_1.00,197.09,174.01,0.72
B-n45-k5-r12_1_4_2.00,202.89,174.01,0.78
B-n45-k5-r12_2_4_0.50,272.06,174.01,0.78
B-n45-k5-r12_2_4_1.00,221.83,174.01,1.19
B-n45-k5-r12_2_4_2.00,221.62,174.01,0.78
B-n45-k5-r12_3_4_0.50,221.74,174.01,0.95
B-n45-k5-r12_3_4_1.00,211.70,174.01,1.50
B-n45-k5-r12_3_4_2.00,186.38,174.01,0.82
B-n45-k5-r12_1_5_0.50,203.89,174.01,0.91
B-n45-k5-r12_1_5_1.00,215.55,174.01,0.93
B-n45-k5-r12_1_5_2.00,201.91,174.01,0.67
B-n45-k5-r12_2_5_0.50,212.70,174.01,0.75
B-n45-k5-r12_2_5_1.00,191.79,174.01,0.72
B-n45-k5-r12_2_5_2.00,212.77,174.01,0.65
B-n45-k5-r12_3_5_0.50,182.09,174.01,0.70
B-n45-k5-r12_3_5_1.00,184.14,174.01,0.72
B-n45-k5-r12_3_5_2.00,212.35,174.01,0.73
B-n45-k5-r16_1_2_0.50,285.06,267.56,1.62
B-n45-k5-r16_1_2_1.00,318.31,251.61,1.40
B-n45-k5-r16_1_2_2.00,288.99,247.27,1.29
B-n45-k5-r16_2_2_0.50,290.07,241.45,1.31
B-n45-k5-r16_2_2_1.00,296.78,223.02,1.95
B-n45-k5-r16_2_2_2.00,278.02,254.54,0.87
B-n45-k5-r16_3_2_0.50,291.23,247.50,2.16
B-n45-k5-r16_3_2_1.00,264.10,243.05,1.34
B-n45-k5-r16_3_2_2.00,285.05,241.45,1.07
B-n45-k5-r16_1_3_0.50,213.36,211.58,0.72
B-n45-k5-r16_1_3_1.00,259.35,216.10,2.24
B-n45-k5-r16_1_3_2.00,286.56,203.88,1.21
B-n45-k5-r16_2_3_0.50,267.67,211.58,0.87
B-n45-k5-r16_2_3_1.00,256.50,203.88,1.31
B-n45-k5-r16_2_3_2.00,211.86,211.58,1.28
B-n45-k5-r16_3_3_0.50,250.97,203.87,1.08
B-n45-k5-r16_3_3_1.00,240.45,211.58,0.86
B-n45-k5-r16_3_3_2.00,240.85,211.58,1.32
B-n45-k5-r16_1_4_0.50,190.70,178.05,1.31
B-n45-k5-r16_1_4_1.00,215.95,174.01,0.80
B-n45-k5-r16_1_4_2.00,189.44,174.01,0.74
B-n45-k5-r16_2_4_0.50,260.62,180.32,1.25
B-n45-k5-r16_2_4_1.00,212.71,174.01,0.90
B-n45-k5-r16_2_4_2.00,232.48,181.52,1.00
B-n45-k5-r16_3_4_0.50,226.83,174.01,0.79
B-n45-k5-r16_3_4_1.00,205.43,174.01,1.03
B-n45-k5-r16_3_4_2.00,216.27,174.01,0.96
B-n45-k5-r16_1_5_0.50,197.67,174.01,0.88
B-n45-k5-r16_1_5_1.00,199.29,174.01,1.29
B-n45-k5-r16_1_5_2.00,190.58,174.01,0.66
B-n45-k5-r16_2_5_0.50,185.16,174.01,0.70
B-n45-k5-r16_2_5_1.00,181.30,174.01,1.02
B-n45-k5-r16_2_5_2.00,210.26,174.01,0.88
B-n45-k5-r16_3_5_0.50,211.58,174.01,0.76
B-n45-k5-r16_3_5_1.00,205.29,174.01,0.72
B-n45-k5-r16_3_5_2.00,194.10,174.01,0.72
B-n45-k6-r8_1_2_0.50,234.97,161.41,1.24
B-n45-k6-r8_1_2_1.00,235.20,154.30,2.11
B-n45-k6-r8_1_2_2.00,188.08,146.09,1.21
B-n45-k6-r8_2_2_0.50,244.29,146.09,2.57
B-n45-k6-r8_2_2_1.00,233.95,146.09,1.11
B-n45-k6-r8_2_2_2.00,175.15,146.09,1.25
B-n45-k6-r8_3_2_0.50,233.84,175.55,2.15
B-n45-k6-r8_3_2_1.00,234.28,183.12,2.73
B-n45-k6-r8_3_2_2.00,198.04,146.09,1.46
B-n45-k6-r8_1_3_0.50,164.44,146.09,0.89
B-n45-k6-r8_1_3_1.00,244.23,146.09,0.89
B-n45-k6-r8_1_3_2.00,154.30,146.09,0.83
B-n45-k6-r8_2_3_0.50,146.09,146.09,0.72
B-n45-k6-r8_2_3_1.00,187.44,146.09,0.91
B-n45-k6-r8_2_3_2.00,220.66,146.09,1.32
B-n45-k6-r8_3_3_0.50,166.93,146.09,0.82
B-n45-k6-r8_3_3_1.00,181.89,146.09,0.72
B-n45-k6-r8_3_3_2.00,156.60,146.09,1.00
B-n45-k6-r8_1_4_0.50,203.92,135.16,1.98
B-n45-k6-r8_1_4_1.00,157.70,126.05,1.14
B-n45-k6-r8_1_4_2.00,184.53,119.59,1.23
B-n45-k6-r8_2_4_0.50,181.71,129.05,1.46
B-n45-k6-r8_2_4_1.00,197.07,122.35,1.06
B-n45-k6-r8_2_4_2.00,192.35,119.59,1.50
B-n45-k6-r8_3_4_0.50,163.97,119.81,1.16
B-n45-k6-r8_3_4_1.00,139.61,119.59,1.04
B-n45-k6-r8_3_4_2.00,156.39,119.59,2.14
B-n45-k6-r8_1_6_0.50,171.22,129.39,1.05
B-n45-k6-r8_1_6_1.00,157.38,122.47,1.00
B-n45-k6-r8_1_6_2.00,137.97,116.62,0.75
B-n45-k6-r8_2_6_0.50,191.60,125.54,0.86
B-n45-k6-r8_2_6_1.00,139.53,116.62,0.78
B-n45-k6-r8_2_6_2.00,141.73,116.62,0.82
B-n45-k6-r8_3_6_0.50,132.71,116.62,0.78
B-n45-k6-r8_3_6_1.00,137.35,116.62,0.84
B-n45-k6-r8_3_6_2.00,128.41,116.62,0.93
B-n45-k6-r12_1_2_0.50,219.90,165.63,1.90
B-n45-k6-r12_1_2_1.00,208.54,159.41,3.18
B-n45-k6-r12_1_2_2.00,201.16,152.51,4.95
B-n45-k6-r12_2_2_0.50,242.20,159.82,3.47
B-n45-k6-r12_2_2_1.00,193.30,145.93,3.05
B-n45-k6-r12_2_2_2.00,211.38,142.82,1.91
B-n45-k6-r12_3_2_0.50,218.18,155.85,1.31
B-n45-k6-r12_3_2_1.00,208.18,142.90,1.76
B-n45-k6-r12_3_2_2.00,196.05,178.71,1.00
B-n45-k6-r12_1_3_0.50,163.77,143.56,1.90
B-n45-k6-r12_1_3_1.00,153.94,141.98,1.57
B-n45-k6-r12_1_3_2.00,210.65,134.84,1.84
B-n45-k6-r12_2_3_0.50,179.90,156.02,1.21
B-n45-k6-r12_2_3_1.00,148.98,135.33,1.70
B-n45-k6-r12_2_3_2.00,161.18,133.90,1.80
B-n45-k6-r12_3_3_0.50,184.20,141.43,1.48
B-n45-k6-r12_3_3_1.00,187.86,135.19,1.05
B-n45-k6-r12_3_3_2.00,157.09,135.19,0.92
B-n45-k6-r12_1_4_0.50,166.72,143.56,0.98
B-n45-k6-r12_1_4_1.00,147.58,135.09,0.75
B-n45-k6-r12_1_4_2.00,185.53,133.90,0.93
B-n45-k6-r12_2_4_0.50,148.82,133.99,1.10
B-n45-k6-r12_2_4_1.00,189.87,133.90,0.88
B-n45-k6-r12_2_4_2.00,167.51,133.90,1.04
B-n45-k6-r12_3_4_0.50,141.40,139.59,0.83
B-n45-k6-r12_3_4_1.00,143.02,133.90,0.88
B-n45-k6-r12_3_4_2.00,148.98,133.90,0.87
B-n45-k6-r12_1_6_0.50,140.63,130.60,1.48
B-n45-k6-r12_1_6_1.00,135.62,130.60,1.08
B-n45-k6-r12_1_6_2.00,142.58,130.60,0.78
B-n45-k6-r12_2_6_0.50,143.41,130.60,0.90
B-n45-k6-r12_2_6_1.00,165.18,130.60,1.23
B-n45-k6-r12_2_6_2.00,138.37,130.60,0.83
B-n45-k6-r12_3_6_0.50,152.68,130.60,0.87
B-n45-k6-r12_3_6_1.00,141.27,130.60,0.73
B-n45-k6-r12_3_6_2.00,141.53,130.60,0.83
B-n45-k6-r16_1_2_0.50,192.44,171.44,1.98
B-n45-k6-r16_1_2_1.00,188.18,163.11,1.46
B-n45-k6-r16_1_2_2.00,174.44,143.79,2.40
B-n45-k6-r16_2_2_0.50,201.49,171.15,2.54
B-n45-k6-r16_2_2_1.00,219.36,155.55,1.94
B-n45-k6-r16_2_2_2.00,213.02,125.75,3.06
B-n45-k6-r16_3_2_0.50,215.22,151.50,1.91
B-n45-k6-r16_3_2_1.00,208.26,141.14,2.99
B-n45-k6-r16_3_2_2.00,231.29,130.48,1.22
B-n45-k6-r16_1_3_0.50,162.83,146.09,2.03
B-n45-k6-r16_1_3_1.00,171.14,144.12,1.10
B-n45-k6-r16_1_3_2.00,146.44,127.72,2.70
B-n45-k6-r16_2_3_0.50,190.82,144.84,1.34
B-n45-k6-r16_2_3_1.00,186.11,131.94,2.22
B-n45-k6-r16_2_3_2.00,145.05,120.37,1.40
B-n45-k6-r16_3_3_0.50,161.78,136.29,4.05
B-n45-k6-r16_3_3_1.00,165.92,125.70,1.85
B-n45-k6-r16_3_3_2.00,191.11,109.35,2.08
B-n45-k6-r16_1_4_0.50,159.30,142.38,1.17
B-n45-k6-r16_1_4_1.00,145.51,132.57,2.75
B-n45-k6-r16_1_4_2.00,172.91,126.00,1.08
B-n45-k6-r16_2_4_0.50,196.40,142.38,1.22
B-n45-k6-r16_2_4_1.00,148.41,136.32,0.79
B-n45-k6-r16_2_4_2.00,171.84,120.37,0.80
B-n45-k6-r16_3_4_0.50,148.19,130.21,1.47
B-n45-k6-r16_3_4_1.00,154.47,115.83,1.99
B-n45-k6-r16_3_4_2.00,149.76,101.55,1.59
B-n45-k6-r16_1_6_0.50,146.47,130.47,0.97
B-n45-k6-r16_1_6_1.00,148.88,129.39,0.92
B-n45-k6-r16_1_6_2.00,140.88,118.12,1.71
B-n45-k6-r16_2_6_0.50,145.51,129.39,1.38
B-n45-k6-r16_2_6_1.00,149.17,122.80,0.77
B-n45-k6-r16_2_6_2.00,138.15,101.55,2.16
B-n45-k6-r16_3_6_0.50,146.09,126.30,1.03
B-n45-k6-r16_3_6_1.00,164.82,105.43,2.24
B-n45-k6-r16_3_6_2.00,144.28,101.55,1.05
B-n50-k7-r8_1_2_0.50,242.33,200.07,1.33
B-n50-k7-r8_1_2_1.00,236.99,197.73,2.28
B-n50-k7-r8_1_2_2.00,246.01,220.05,1.68
B-n50-k7-r8_2_2_0.50,223.87,194.25,1.20
B-n50-k7-r8_2_2_1.00,217.08,194.39,1.38
B-n50-k7-r8_2_2_2.00,269.32,187.48,2.61
B-n50-k7-r8_3_2_0.50,243.42,219.70,2.06
B-n50-k7-r8_3_2_1.00,251.11,187.45,1.79
B-n50-k7-r8_3_2_2.00,275.68,198.51,2.60
B-n50-k7-r8_1_3_0.50,186.08,165.12,1.28
B-n50-k7-r8_1_3_1.00,189.55,160.56,0.98
B-n50-k7-r8_1_3_2.00,195.40,165.24,2.00
B-n50-k7-r8_2_3_0.50,221.20,179.09,0.93
B-n50-k7-r8_2_3_1.00,212.20,185.84,0.80
B-n50-k7-r8_2_3_2.00,177.09,160.56,1.76
B-n50-k7-r8_3_3_0.50,196.27,160.56,1.60
B-n50-k7-r8_3_3_1.00,201.14,165.24,1.33
B-n50-k7-r8_3_3_2.00,174.18,160.56,1.50
B-n50-k7-r8_1_4_0.50,190.74,141.93,1.38
B-n50-k7-r8_1_4_1.00,180.46,129.61,1.48
B-n50-k7-r8_1_4_2.00,200.06,129.24,0.99
B-n50-k7-r8_2_4_0.50,192.23,130.62,0.83
B-n50-k7-r8_2_4_1.00,173.84,129.24,1.22
B-n50-k7-r8_2_4_2.00,129.24,129.24,1.03
B-n50-k7-r8_3_4_0.50,168.15,129.24,0.91
B-n50-k7-r8_3_4_1.00,186.76,129.24,1.02
B-n50-k7-r8_3_4_2.00,169.51,129.24,0.86
B-n50-k7-r8_1_7_0.50,147.22,126.41,1.51
B-n50-k7-r8_1_7_1.00,144.55,119.72,0.88
B-n50-k7-r8_1_7_2.00,130.11,116.33,0.69
B-n50-k7-r8_2_7_0.50,125.12,119.72,0.82
B-n50-k7-r8_2_7_1.00,154.31,116.33,0.73
B-n50-k7-r8_2_7_2.00,161.30,116.33,0.79
B-n50-k7-r8_3_7_0.50,133.61,117.57,0.76
B-n50-k7-r8_3_7_1.00,131.03,116.33,0.78
B-n50-k7-r8_3_7_2.00,131.70,116.33,0.77
B-n50-k7-r12_1_2_0.50,253.85,195.27,2.44
B-n50-k7-r12_1_2_1.00,259.64,183.97,1.53
B-n50-k7-r12_1_2_2.00,239.33,159.80,1.88
B-n50-k7-r12_2_2_0.50,221.72,177.69,4.40
B-n50-k7-r12_2_2_1.00,248.89,161.43,3.29
B-n50-k7-r12_2_2_2.00,214.79,159.64,2.48
B-n50-k7-r12_3_2_0.50,232.71,165.07,3.14
B-n50-k7-r12_3_2_1.00,206.03,176.07,1.55
B-n50-k7-r12_3_2_2.00,258.53,165.49,3.08
B-n50-k7-r12_1_3_0.50,221.13,170.44,1.38
B-n50-k7-r12_1_3_1.00,190.64,157.07,1.21
B-n50-k7-r12_1_3_2.00,186.12,149.00,1.97
B-n50-k7-r12_2_3_0.50,191.92,162.48,1.01
B-n50-k7-r12_2_3_1.00,202.74,160.61,2.32
B-n50-k7-r12_2_3_2.00,185.48,139.84,2.12
B-n50-k7-r12_3_3_0.50,189.55,160.27,1.62
B-n50-k7-r12_3_3_1.00,187.69,149.01,1.12
B-n50-k7-r12_3_3_2.00,185.79,139.71,0.97
B-n50-k7-r12_1_4_0.50,185.45,134.93,1.24
B-n50-k7-r12_1_4_1.00,138.65,118.41,0.85
B-n50-k7-r12_1_4_2.00,171.93,113.97,0.89
B-n50-k7-r12_2_4_0.50,173.87,129.22,1.29
B-n50-k7-r12_2_4_1.00,167.63,113.97,0.93
B-n50-k7-r12_2_4_2.00,169.78,113.81,0.82
B-n50-k7-r12_3_4_0.50,172.83,116.73,0.98
B-n50-k7-r12_3_4_1.00,148.79,113.81,1.67
B-n50-k7-r12_3_4_2.00,174.15,113.81,0.77
B-n50-k7-r12_1_7_0.50,166.01,123.18,0.93
B-n50-k7-r12_1_7_1.00,154.92,113.97,0.70
B-n50-k7-r12_1_7_2.00,141.25,113.97,0.72
B-n50-k7-r12_2_7_0.50,141.22,113.97,0.88
B-n50-k7-r12_2_7_1.00,128.42,113.81,1.42
B-n50-k7-r12_2_7_2.00,121.75,113.81,0.72
B-n50-k7-r12_3_7_0.50,133.91,113.93,1.37
B-n50-k7-r12_3_7_1.00,135.44,113.81,0.77
B-n50-k7-r12_3_7_2.00,132.26,113.81,0.73
B-n50-k7-r16_1_2_0.50,222.38,203.01,0.99
B-n50-k7-r16_1_2_1.00,218.72,176.43,2.37
B-n50-k7-r16_1_2_2.00,218.20,159.43,1.18
B-n50-k7-r16_2_2_0.50,225.14,187.53,1.56
B-n50-k7-r16_2_2_1.00,243.81,159.43,4.75
B-n50-k7-r16_2_2_2.00,252.48,161.27,1.19
B-n50-k7-r16_3_2_0.50,238.61,181.67,1.50
B-n50-k7-r16_3_2_1.00,248.17,150.51,2.11
B-n50-k7-r16_3_2_2.00,246.68,159.43,1.40
B-n50-k7-r16_1_3_0.50,198.80,178.64,1.07
B-n50-k7-r16_1_3_1.00,193.17,152.21,2.34
B-n50-k7-r16_1_3_2.00,194.33,141.24,1.33
B-n50-k7-r16_2_3_0.50,195.14,167.86,1.10
B-n50-k7-r16_2_3_1.00,187.47,160.41,1.64
B-n50-k7-r16_2_3_2.00,198.78,144.34,0.94
B-n50-k7-r16_3_3_0.50,195.75,143.06,2.49
B-n50-k7-r16_3_3_1.00,235.21,144.43,1.68
B-n50-k7-r16_3_3_2.00,187.09,141.31,1.41
B-n50-k7-r16_1_4_0.50,156.15,133.63,0.81
B-n50-k7-r16_1_4_1.00,149.03,120.19,2.15
B-n50-k7-r16_1_4_2.00,162.32,109.77,1.61
B-n50-k7-r16_2_4_0.50,189.48,126.36,0.80
B-n50-k7-r16_2_4_1.00,146.07,111.99,2.06
B-n50-k7-r16_2_4_2.00,192.86,108.21,0.97
B-n50-k7-r16_3_4_0.50,156.24,118.36,2.02
B-n50-k7-r16_3_4_1.00,151.84,108.21,1.11
B-n50-k7-r16_3_4_2.00,185.18,108.21,0.85
B-n50-k7-r16_1_7_0.50,144.16,125.19,1.02
B-n50-k7-r16_1_7_1.00,125.78,108.54,1.07
B-n50-k7-r16_1_7_2.00,120.61,108.34,1.36
B-n50-k7-r16_2_7_0.50,121.92,121.56,0.81
B-n50-k7-r16_2_7_1.00,118.04,108.37,0.83
B-n50-k7-r16_2_7_2.00,141.86,108.21,0.71
B-n50-k7-r16_3_7_0.50,115.89,108.37,1.12
B-n50-k7-r16_3_7_1.00,117.80,108.21,0.80
B-n50-k7-r16_3_7_2.00,121.62,108.21,0.79
B-n50-k8-r8_1_2_0.50,331.22,287.86,2.31
B-n50-k8-r8_1_2_1.00,316.76,287.56,1.13
B-n50-k8-r8_1_2_2.00,339.93,279.09,1.53
B-n50-k8-r8_2_2_0.50,334.64,287.90,2.26
B-n50-k8-r8_2_2_1.00,319.57,287.86,1.40
B-n50-k8-r8_2_2_2.00,294.88,278.78,1.08
B-n50-k8-r8_3_2_0.50,326.90,283.32,1.44
B-n50-k8-r8_3_2_1.00,345.41,280.74,1.65
B-n50-k8-r8_3_2_2.00,322.43,283.66,1.51
B-n50-k8-r8_1_3_0.50,269.91,230.43,2.71
B-n50-k8-r8_1_3_1.00,288.71,268.14,0.77
B-n50-k8-r8_1_3_2.00,285.72,259.67,1.10
B-n50-k8-r8_2_3_0.50,279.95,230.43,2.52
B-n50-k8-r8_2_3_1.00,270.39,230.38,1.11
B-n50-k8-r8_2_3_2.00,297.21,268.14,0.71
B-n50-k8-r8_3_3_0.50,286.96,230.43,0.99
B-n50-k8-r8_3_3_1.00,283.97,230.43,1.36
B-n50-k8-r8_3_3_2.00,296.54,230.38,1.67
B-n50-k8-r8_1_4_0.50,255.53,217.36,0.74
B-n50-k8-r8_1_4_1.00,243.06,217.36,0.92
B-n50-k8-r8_1_4_2.00,236.40,217.36,0.72
B-n50-k8-r8_2_4_0.50,253.00,217.36,0.74
B-n50-k8-r8_2_4_1.00,278.80,217.36,0.93
B-n50-k8-r8_2_4_2.00,241.44,217.36,0.73
B-n50-k8-r8_3_4_0.50,226.26,217.36,0.77
B-n50-k8-r8_3_4_1.00,217.36,217.36,0.67
B-n50-k8-r8_3_4_2.00,230.70,217.36,0.72
B-n50-k8-r8_1_8_0.50,226.04,217.36,0.75
B-n50-k8-r8_1_8_1.00,217.36,217.36,0.68
B-n50-k8-r8_1_8_2.00,218.58,217.36,0.83
B-n50-k8-r8_2_8_0.50,219.68,217.36,0.77
B-n50-k8-r8_2_8_1.00,227.70,217.36,0.82
B-n50-k8-r8_2_8_2.00,227.87,217.36,0.90
B-n50-k8-r8_3_8_0.50,227.03,217.36,0.83
B-n50-k8-r8_3_8_1.00,217.36,217.36,0.78
B-n50-k8-r8_3_8_2.00,231.53,217.36,0.69
B-n50-k8-r12_1_2_0.50,322.36,262.29,3.24
B-n50-k8-r12_1_2_1.00,358.02,260.61,4.85
B-n50-k8-r12_1_2_2.00,357.92,259.90,2.19
B-n50-k8-r12_2_2_0.50,367.23,261.10,1.73
B-n50-k8-r12_2_2_1.00,306.59,261.29,2.35
B-n50-k8-r12_2_2_2.00,327.29,279.54,1.49
B-n50-k8-r12_3_2_0.50,308.35,263.00,1.95
B-n50-k8-r12_3_2_1.00,314.40,261.10,1.99
B-n50-k8-r12_3_2_2.00,339.45,257.78,3.01
B-n50-k8-r12_1_3_0.50,288.41,222.89,0.90
B-n50-k8-r12_1_3_1.00,275.86,222.89,1.22
B-n50-k8-r12_1_3_2.00,288.50,222.89,1.28
B-n50-k8-r12_2_3_0.50,266.62,222.89,1.21
B-n50-k8-r12_2_3_1.00,285.78,222.89,1.75
B-n50-k8-r12_2_3_2.00,279.69,222.89,1.46
B-n50-k8-r12_3_3_0.50,268.60,222.89,1.41
B-n50-k8-r12_3_3_1.00,287.14,222.89,1.66
B-n50-k8-r12_3_3_2.00,273.54,222.89,0.91
B-n50-k8-r12_1_4_0.50,261.42,222.89,0.76
B-n50-k8-r12_1_4_1.00,254.58,222.89,1.60
B-n50-k8-r12_1_4_2.00,281.47,222.89,1.06
B-n50-k8-r12_2_4_0.50,255.56,222.89,1.03
B-n50-k8-r12_2_4_1.00,267.01,222.89,0.91
B-n50-k8-r12_2_4_2.00,238.87,222.89,0.81
B-n50-k8-r12_3_4_0.50,253.45,222.89,0.76
B-n50-k8-r12_3_4_1.00,247.19,222.89,0.72
B-n50-k8-r12_3_4_2.00,276.17,222.89,155.16
B-n50-k8-r12_1_8_0.50,227.35,222.89,1.02
B-n50-k8-r12_1_8_1.00,226.18,222.89,0.78
B-n50-k8-r12_1_8_2.00,222.98,222.89,0.76
B-n50-k8-r12_2_8_0.50,226.18,222.89,0.70
B-n50-k8-r12_2_8_1.00,222.89,222.89,0.76
B-n50-k8-r12_2_8_2.00,228.35,222.89,26.40
B-n50-k8-r12_3_8_0.50,226.04,222.89,1.19
B-n50-k8-r12_3_8_1.00,227.85,222.89,1.26
B-n50-k8-r12_3_8_2.00,227.47,222.89,1.01
B-n50-k8-r16_1_2_0.50,338.65,275.89,2.30
B-n50-k8-r16_1_2_1.00,314.07,263.74,1.38
B-n50-k8-r16_1_2_2.00,305.82,257.63,2.01
B-n50-k8-r16_2_2_0.50,314.18,266.81,3.99
B-n50-k8-r16_2_2_1.00,353.40,257.68,2.70
B-n50-k8-r16_2_2_2.00,296.39,274.40,1.23
B-n50-k8-r16_3_2_0.50,324.87,249.07,1.85
B-n50-k8-r16_3_2_1.00,299.11,249.22,1.52
B-n50-k8-r16_3_2_2.00,336.51,255.80,2.54
B-n50-k8-r16_1_3_0.50,283.88,249.07,1.85
B-n50-k8-r16_1_3_1.00,282.94,255.57,0.78
B-n50-k8-r16_1_3_2.00,290.01,255.57,0.80
B-n50-k8-r16_2_3_0.50,280.41,219.10,2.64
B-n50-k8-r16_2_3_1.00,299.06,264.26,0.77
B-n50-k8-r16_2_3_2.00,255.67,216.26,1.24
B-n50-k8-r16_3_3_0.50,260.67,216.26,2.06
B-n50-k8-r16_3_3_1.00,251.79,216.26,2.09
B-n50-k8-r16_3_3_2.00,264.12,216.26,1.11
B-n50-k8-r16_1_4_0.50,247.65,220.38,1.76
B-n50-k8-r16_1_4_1.00,257.91,211.28,0.75
B-n50-k8-r16_1_4_2.00,239.94,211.28,0.83
B-n50-k8-r16_2_4_0.50,233.62,211.28,0.78
B-n50-k8-r16_2_4_1.00,264.93,211.28,0.77
B-n50-k8-r16_2_4_2.00,267.03,211.28,0.79
B-n50-k8-r16_3_4_0.50,230.93,211.28,0.90
B-n50-k8-r16_3_4_1.00,229.28,211.28,0.78
B-n50-k8-r16_3_4_2.00,258.34,211.28,0.80
B-n50-k8-r16_1_8_0.50,224.72,213.56,0.73
B-n50-k8-r16_1_8_1.00,227.46,211.28,0.83
B-n50-k8-r16_1_8_2.00,229.15,211.28,1.07
B-n50-k8-r16_2_8_0.50,226.04,211.28,0.77
B-n50-k8-r16_2_8_1.00,228.21,211.28,0.76
B-n50-k8-r16_2_8_2.00,223.00,211.28,0.76
B-n50-k8-r16_3_8_0.50,211.28,211.28,0.75
B-n50-k8-r16_3_8_1.00,225.22,211.28,0.75
B-n50-k8-r16_3_8_2.00,227.21,211.28,0.81
B-n51-k7-r8_1_2_0.50,283.52,263.75,1.55
B-n51-k7-r8_1_2_1.00,331.83,257.84,2.05
B-n51-k7-r8_1_2_2.00,340.33,252.36,1.33
B-n51-k7-r8_2_2_0.50,300.06,221.01,2.49
B-n51-k7-r8_2_2_1.00,251.47,221.01,2.31
B-n51-k7-r8_2_2_2.00,346.55,221.01,2.39
B-n51-k7-r8_3_2_0.50,248.91,221.01,2.82
B-n51-k7-r8_3_2_1.00,279.28,252.36,1.66
B-n51-k7-r8_3_2_2.00,287.91,221.09,2.81
B-n51-k7-r8_1_3_0.50,224.95,202.65,2.45
B-n51-k7-r8_1_3_1.00,251.14,203.97,1.81
B-n51-k7-r8_1_3_2.00,216.00,195.54,0.98
B-n51-k7-r8_2_3_0.50,240.27,196.51,1.35
B-n51-k7-r8_2_3_1.00,223.46,195.54,0.77
B-n51-k7-r8_2_3_2.00,230.70,195.54,0.98
B-n51-k7-r8_3_3_0.50,261.28,199.74,1.16
B-n51-k7-r8_3_3_1.00,265.95,195.54,1.88
B-n51-k7-r8_3_3_2.00,213.71,195.54,1.04
B-n51-k7-r8_1_4_0.50,208.36,157.08,1.49
B-n51-k7-r8_1_4_1.00,226.95,174.05,1.46
B-n51-k7-r8_1_4_2.00,231.03,154.97,1.48
B-n51-k7-r8_2_4_0.50,230.43,154.97,1.66
B-n51-k7-r8_2_4_1.00,178.40,154.97,1.01
B-n51-k7-r8_2_4_2.00,197.87,154.97,1.54
B-n51-k7-r8_3_4_0.50,208.52,154.97,1.32
B-n51-k7-r8_3_4_1.00,227.90,154.97,1.27
B-n51-k7-r8_3_4_2.00,179.20,154.97,1.35
B-n51-k7-r8_1_7_0.50,147.13,143.31,1.18
B-n51-k7-r8_1_7_1.00,162.79,141.90,0.80
B-n51-k7-r8_1_7_2.00,150.45,141.90,1.16
B-n51-k7-r8_2_7_0.50,186.55,141.90,0.94
B-n51-k7-r8_2_7_1.00,156.12,141.90,0.96
B-n51-k7-r8_2_7_2.00,147.20,141.90,0.86
B-n51-k7-r8_3_7_0.50,171.91,141.90,1.18
B-n51-k7-r8_3_7_1.00,184.60,141.90,1.28
B-n51-k7-r8_3_7_2.00,177.07,141.90,1.14
B-n51-k7-r12_1_2_0.50,307.18,220.70,1.96
B-n51-k7-r12_1_2_1.00,294.73,198.22,3.49
B-n51-k7-r12_1_2_2.00,282.21,198.55,1.67
B-n51-k7-r12_2_2_0.50,330.85,212.16,5.97
B-n51-k7-r12_2_2_1.00,297.67,235.87,4.25
B-n51-k7-r12_2_2_2.00,317.13,230.13,4.20
B-n51-k7-r12_3_2_0.50,268.72,207.11,2.20
